,fromAddress,CNT_DEX_TX,TOTAL_DEX_OUT,MIN_BLOCK_ANALYZED,MAX_BLOCK_ANALYZED,FREQ_CNT_DEX_TX,MAX_DEX_OUT,CNT_UNISWAP_OUT,SUM_UNISWAP_OUT,CNT_KYBER_OUT,SUM_KYBER_OUT,CNT_DXDY_OUT,SUM_DXDY_OUT,CNT_nan_OUT,SUM_nan_OUT,CNT_BALANCER_OUT,SUM_BALANCER_OUT,CNT_DEX_AG_OUT,SUM_DEX_AG_OUT,CNT_AIRSWAP_OUT,SUM_AIRSWAP_OUT,CNT_TOTLE_OUT,SUM_TOTLE_OUT,CNT_ONE_INCH_OUT,SUM_ONE_INCH_OUT,CNT_PARASWAP_V2_OUT,SUM_PARASWAP_V2_OUT,CNT_BINANCE_OUT,SUM_BINANCE_OUT,ADDRESS_CATEGORY
69,0X1D2C4CD9BEE9DFE088430B95D274E765151C32DB,220,11360.716189831706,10485573,12615804,9682,2668.2782900232764,213,11360.716189831706,0,0.0,0,0.0,0,0,4,0,0,0.0,0,0,0,0.0,3,0,0,0.0,0,0.0,PLATINUM
70,0X580150CE0052C40B09D20FFF61E5A71BA4CFBF4F,4029,11296.685967152238,11964394,12690787,180,38.80628541442919,3924,11296.685967152238,0,0.0,0,0.0,0,0,105,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
71,0X2CA3A2B525E75B2F20F59DECCAE3FFA4BDF3EAA2,408,11270.512471555232,10413840,11997041,3880,1443.6694365793207,284,10560.782471555232,0,0.0,0,0.0,0,0,0,0,123,709.7299999999999,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
72,0X0277E93F7BB5C65F6288F5153EF89C2ED8961BBF,7601,11156.0,12328379,12692825,47,15.0,7599,11156.0,0,0.0,0,0.0,0,0,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
73,0X98041AB523024DACAEFA3BB70DD982DBAC68E855,4588,10587.01187083287,12297353,12692946,86,29.540966568508576,4553,10587.01187083287,0,0.0,0,0.0,0,0,35,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
74,0X6E90AE41AF1DEA6F0006AA7752D9DB2CF5E6A49F,3938,10317.07095082269,12291324,12693192,102,31.95694873131038,3900,10317.07095082269,0,0.0,0,0.0,0,0,38,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
75,0X1EA33D7D823356AE086E859F0C1B06FAD7AC645C,123,10274.5,9898207,12651883,22387,600.0,0,0.0,0,0.0,122,10274.5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0.0,PLATINUM
76,0X91A6EBD9FA4DA694A652EB4F62EAD38A65A9D525,3861,10222.18,10382955,12690414,597,20.0,3857,10222.18,0,0.0,0,0.0,0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
77,0X6455C07BE90F40D51B041E128B2C4B00C56DE508,1008,10189.764830813352,9409069,12621546,3186,928.7310395239645,1000,10175.764830813352,0,0.0,0,0.0,0,0,3,0,4,14.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
78,0X591C9304C2CECA8B4E8A6CE97D30DBE5D4DD640B,364,10027.610331468997,10764787,12685752,5277,166.696074003,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,125,0,0,0.0,2,0,0,0.0,237,10027.610331468997,PLATINUM
79,0X32E9DC9968FAB4C4528165CD37B613DD5D229650,628,9879.041644302577,12266006,12519410,403,1490.7054452911063,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0.0,1,0,0,0.0,9,0,0,0.0,617,9879.041644302577,PLATINUM
80,0XC75ED86893CACB1C9D7C351116F666030A0A9C0C,4084,9836.661378945782,11603012,12694004,267,17.81816291610948,4083,9821.661378945782,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,15.0,0,0.0,PLATINUM
81,0X9ED5986B9B0FE8FC380BB9CF9F6FC8798E5AEE78,225,9802.834466933347,10483502,12677221,9749,1542.8379043717148,204,8365.968566933345,0,0.0,17,1436.8659,0,0,3,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
82,0XC23EF3ADF050F4CA50B30998D37EB6464E387577,375,9708.482481569163,10413930,11964256,4134,1290.0,260,9047.512481569163,0,0.0,0,0.0,0,0,0,0,110,660.97,0,0,0,0.0,5,0,0,0.0,0,0.0,PLATINUM
83,0XB617BF66B848D301C4FD2DB586A244A5C07E2EC0,5750,9541.373804820796,10570389,12680408,366,16.28934813584473,5740,9541.373804820796,0,0.0,0,0.0,0,0,0,0,0,0.0,3,0,0,0.0,7,0,0,0.0,0,0.0,PLATINUM
84,0XEF3375B491CFF653EAF7C9955A5466F7EA06F37B,3431,9327.167618616095,12043293,12692158,189,37.26569151792425,3406,9327.167618616095,0,0.0,0,0.0,0,0,25,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
85,0XE580D2D9A51B4296B95C42BB78C1E976D0F16F4B,231,9307.066775024998,10951107,12693856,7544,220.38783981,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,30,0,0,0.0,201,9307.066775024998,PLATINUM
86,0X78B58E4197C04D320A33C582ECC3E7E885F26A58,147,9001.277204967986,11022321,12647450,11055,2328.85075921153,145,9001.277204967986,0,0.0,0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
87,0XBBBBED03131F83D2ABA099CDD3631280E51F6978,142,8894.52624018476,9073080,12468220,23909,500.0,102,3697.467794079688,9,69.47215463645884,30,5127.586291468613,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
88,0X32CD1F7BDAE90B87E9B58D25D2EF7B09F6A9B548,8530,8844.449639999993,12089170,12693628,70,43.62456,8529,8844.449639999993,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
89,0X3EF003329B24A37D63B2B796B48A9EA17377AC95,994,8764.442198987006,10703425,12687388,1995,142.323006019,0,0.0,0,0.0,0,0.0,0,0,241,0,0,0.0,0,0,0,0.0,0,0,0,0.0,753,8764.442198987006,PLATINUM
