,blockNumber,timestamp_iso8601,timestamp_unixtime,redeemer,redeemAmount,redeemTokens
0,12775987,2021-07-06T20:09:51Z,1625602191,0xea1b88056e96c30b0709751a15da0ffa2e5badf4,341021353584201719,1679558838
0,12775680,2021-07-06T19:10:08Z,1625598608,0x6ddca709e0d29fdd03be35553c77c08f81a3f9e1,14400000000000000000000,70921299426070
0,12775236,2021-07-06T17:29:00Z,1625592540,0x6ddca709e0d29fdd03be35553c77c08f81a3f9e1,7073080600000000000000,34835620280209
0,12775148,2021-07-06T17:06:06Z,1625591166,0x6d66cdd834165fe3883a73853cd59f0b0b378c70,3707809852093026573,18261335692
0,12774567,2021-07-06T14:59:17Z,1625583557,0x0c2b4bd579af8c1fbb1f7e2ed3fae89ab5ca31b3,100000000000000000000,492511123602
0,12774384,2021-07-06T14:21:46Z,1625581306,0x96f78bb465f7a02c1e8810ef2f7cdbb4da2a6839,1000095561235120436,4925585315
0,12774312,2021-07-06T14:05:37Z,1625580337,0x0eb4add4ba497357546da7f5d12d39587ca24606,2000000000000000000000,9850232028536
0,12773916,2021-07-06T12:29:48Z,1625574588,0x37d493e32ca5ef914389c8cb2e33e81805309d96,5883040022768055635817,28974698005436
0,12773913,2021-07-06T12:29:33Z,1625574573,0x8d7213dc74a13c8e35d92d25c29fc5330887ef78,25020376369300467970,123228442190
0,12773731,2021-07-06T11:47:01Z,1625572021,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,1067411726449763505,5257138066
0,12773727,2021-07-06T11:46:08Z,1625571968,0x0d6af0a4fcd387182ca106270794d81477f6dffd,28666273010346371452,141185030627
0,12773669,2021-07-06T11:34:55Z,1625571295,0xf1ff481ee833785f6386d8a65af39cccd2285327,143775357259364194770,708112023497
0,12773098,2021-07-06T09:26:39Z,1625563599,0xeff4cb8e089a8bcd9d9d2e02bf56077b58e18a36,3000109176355903053192,14775952853400
0,12773084,2021-07-06T09:23:58Z,1625563438,0xf1ff481ee833785f6386d8a65af39cccd2285327,400000000000000000000,1970055455218
0,12773047,2021-07-06T09:14:41Z,1625562881,0x38148ecc2078da7f65e6233dda28efaf4c51e96f,130989498308721602743,645141527970
0,12772631,2021-07-06T07:40:33Z,1625557233,0x4d2b0c194ff6afa60cb36f8b837203d6fa6b03d9,2000000000000000000,9850293845
0,12772528,2021-07-06T07:19:40Z,1625555980,0xbfd011afe4b326817db13df58f0dea7188154aac,40000000000000000000,197005952252
0,12772410,2021-07-06T06:50:32Z,1625554232,0xec84406e95e04bbec35cfcc4e630e8ee529952ce,5817659443386755822,28652851016
0,12772384,2021-07-06T06:45:47Z,1625553947,0x313638c16b16183be9ae577a0fab9fc5b5f60f69,752719670161592172,3707258367
0,12772310,2021-07-06T06:28:26Z,1625552906,0xda0baf5cc898c04deedf9445f66b4ebe898ce341,5078060107414591347,25010221919
0,12772131,2021-07-06T05:46:56Z,1625550416,0xa2966e1b1ed4b962600f7e86f7af254e49d20f66,500000000000000000000,2462578032911
